habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,administracion,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,nombre,ubicacion,precio
3,2,1,63 m²,60 m²,4,Excelente,9 a 15 años,$ 238.000 COP,"$ 4.125.396,83*m²",1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Apartamento,Suba Salitre,259900000
2,2,2,191 m²,191 m²,6,Excelente,16 a 30 años,No definida,"$ 6.020.942,41*m²",1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,Apartamento,El refugio,1150000000
1,1,0,30 m²,30 m²,3,No definida,1 a 8 años,$ 150.300 COP,"$ 6.266.666,67*m²",1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Apartamento,La Candelaria,188000000
3,2,1,57 m²,57 m²,4,No definida,16 a 30 años,$ 235.000 COP,"$ 5.228.070,18*m²",0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,Apartamento,Santa rosa,298000000
3,4,2,199 m²,199 m²,6,Bueno,más de 30 años,$ 944.300 COP,"$ 7.537.688,44*m²",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,Apartamento,cHICO,1500000000
6,3,0,198 m²,198 m²,3,No definida,No definida,No definida,"$ 2.575.757,58*m²",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Casa,Giralda,510000000
2,2,2,90 m²,90 m²,6,Bueno,9 a 15 años,$ 840.000 COP,"$ 6.111.111,11*m²",1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,Apartamento,Bella Suiza,550000000
2,2,2,80 m²,80 m²,4,No definida,16 a 30 años,$ 490.000 COP,$ 4.725.000*m²,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,Apartamento,Belmira,378000000
2,3,2,86 m²,86 m²,6,Bueno,16 a 30 años,$ 648.000 COP,"$ 8.953.488,37*m²",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,Apartamento,San Patricio,770000000
4,4,3,205 m²,205 m²,6,Excelente,más de 30 años,$ 1.201.000 COP,"$ 5.609.756,1*m²",1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Apartamento,Chicó,1150000000
