habitaciones;ba�os;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;porteria_recepcion;Zonas Verdes;salon comunal;balcon;Barra estilo americano;Calentador;Chimenea;citofono;Cocina Integral;Terraza;Vigilancia;parques;Estudio;Patio;deposito;nombre;ubicacion;precio
1;2;2;70;105;1;Excelente;9 a 15 años;320000;7857142,86;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;Chico norte;550000000
5;4;1;176;176;3;No definida;más de 30 años;No definida;2443181,82;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;San Andres II Sector;430000000
3;2;1;74;74;4;No definida;16 a 30 años;285000;4189189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;55;50;3;Excelente;9 a 15 años;109000;4000000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;68;68;4;No definida;menor a 1 año;No definida;5882352,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Alsacia;400000000
11;6;2;320;320;3;Bueno;16 a 30 años;No definida;2187500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;Casa;Santa Rita;700000000
2;2;0;68;68;2;Excelente;menor a 1 año;No definida;2794117,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa La Paz;190000000
3;2;1;60;60;3;Excelente;9 a 15 años;215000;4833333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
3;2;0;95;9353;4;Excelente;más de 30 años;85000;4052631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000
3;3;1;90;90;3;Excelente;16 a 30 años;290000;4833333,33;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Metropolis;435000000
2;3;2;87;85;5;Excelente;1 a 8 años;745000;5511494,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pasadena;479500000
3;2;1;86;80;3;Excelente;1 a 8 años;No definida;3720930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
3;3;2;120;120;6;Bueno;16 a 30 años;892000;5816666,67;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;rosales;698000000
3;3;3;212;212;6;Bueno;más de 30 años;1930000;5613207,55;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;1190000000
4;3;2;275;275;5;Bueno;más de 30 años;200000;3490909,09;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;Casa;Pontevedra;960000000
4;3;2;120;110;5;Excelente;16 a 30 años;500000;3332500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bella suiza;399900000
3;3;3;191;191;6;Excelente;más de 30 años;960000;7068062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;59;59;3;Bueno;16 a 30 años;278500;4322033,9;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;Apartamento;Prado Pinzon;255000000
1;1;1;40;40;3;Bueno;16 a 30 años;141000;7000000;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;zona centro;280000000
2;2;2;70;61;4;No definida;menor a 1 año;420000;7428571,43;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Pardo rubio;520000000
3;2;1;65;65;4;Excelente;9 a 15 años;170000;4152307,69;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;San Antonio Norte;269900000
2;1;1;63;63;4;No definida;más de 30 años;387000;3968253,97;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Cedro Golf;250000000
3;2;0;110;110;3;No definida;No definida;No definida;2181818,18;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Apartamento;La Aurora;240000000
5;3;1;200;160;4;Bueno;más de 30 años;No definida;3500000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Palermo;700000000
3;3;2;120;120;6;No definida;16 a 30 años;688000;5666666,67;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;Apartamento;Chico norte;680000000
3;3;1;75;67;4;Bueno;9 a 15 años;260000;4600000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Villa alsacia;345000000
1;1;1;33;33;3;No definida;1 a 8 años;220000;7272727,27;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;Apartamento;Chapinero central;240000000
3;2;0;51;51;2;Excelente;9 a 15 años;70000;2350980,39;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Bosa San Diego;119900000
2;1;1;49;0;3;No definida;16 a 30 años;No definida;5918367,35;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Apartamento;Tabora;290000000
3;2;0;55;50;3;Excelente;9 a 15 años;109000;4000000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;60;60;4;No definida;16 a 30 años;291000;5666666,67;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Usaquén;340000000
2;1;1;52;52;4;Bueno;más de 30 años;207000;4038461,54;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Caobos salazar;210000000
2;2;1;61;0;4;Excelente;16 a 30 años;217000;5573770,49;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;Apartamento;Gran America;340000000
5;3;2;260;260;4;No definida;más de 30 años;No definida;3807692,31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
4;5;4;200;0;5;Excelente;1 a 8 años;1000000;4900000;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Cedritos;980000000
4;3;1;90;0;4;Bueno;más de 30 años;369000;4000000;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
3;3;1;150;150;6;Bueno;más de 30 años;872000;6533333,33;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
